movie,year,imdb,votes,gross,movie ID,genre1,genre2,genre3,director,actor1,actor2,actor3,actor4,actor5,actor6
Gone with the Wind,1939,8.1,293585,198676459,/title/tt0031381/,Drama,History,Romance            ,Victor Fleming,Thomas Mitchell,Barbara ONeil,Vivien Leigh,Evelyn Keyes,Ann Rutherford,George Reeves
The Ten Commandments,1956,7.9,65368,93740000,/title/tt0049833/,Adventure,Drama            ,,Cecil B. DeMille,Charlton Heston,Yul Brynner,Anne Baxter,Edward G. Robinson,Yvonne De Carlo,Debra Paget
Ben-Hur,1959,8.1,222246,74700000,/title/tt0052618/,Adventure,Drama,History            ,William Wyler,Charlton Heston,Jack Hawkins,Haya Harareet,Stephen Boyd,Hugh Griffith,Martha Scott
The Bridge on the River Kwai,1957,8.1,206022,44908000,/title/tt0050212/,Adventure,Drama,War            ,David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,James Donald,Geoffrey Horne
Around the World in 80 Days,1956,6.8,25158,42000000,/title/tt0048960/,Adventure,Comedy,Family            ,Michael Anderson,Cantinflas,Finlay Currie,Robert Morley,Ronald Squire,Basil Sydney,Noël Coward
Swiss Family Robinson,1960,7.2,14545,40356000,/title/tt0054357/,Adventure,Family            ,,Ken Annakin,John Mills,Dorothy McGuire,James MacArthur,Janet Munro,Sessue Hayakawa,Tommy Kirk
Rear Window,1954,8.4,450099,36764313,/title/tt0047396/,Mystery,Thriller            ,,Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,Raymond Burr,Judith Evelyn
The Robe,1953,6.8,9492,36000000,/title/tt0046247/,Drama,History            ,,Henry Koster,Richard Burton,Jean Simmons,Victor Mature,Michael Rennie,Jay Robinson,Dean Jagger
The Greatest Show on Earth,1952,6.6,13232,36000000,/title/tt0044672/,Drama,Family,Romance            ,Cecil B. DeMille,Betty Hutton,Cornel Wilde,Charlton Heston,Dorothy Lamour,Gloria Grahame,Henry Wilcoxon
Mom and Dad,1945,5.1,144,34880000,/title/tt0040603/,Drama            ,,,William Beaudine,June Carlson,Lois Austin,George Eldredge,Jimmy Clark,Hardie Albright,Bob Lowell
